name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Seamus Coleman,0.0,59949.png,0,4928,a,Everton,4.5,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,2022-07-15T12:00:04.659129Z,831,575,0.1,0.0,False,0
Andros Townsend,0.0,60252.png,0,421,i,Everton,5.5,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,Knee injury - Expected back 26 Dec,2022-07-05T15:30:04.167286Z,41,32,0.0,0.0,False,0
Michael Keane,0.0,106611.png,1,5739,a,Everton,4.2,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_11-66.webp,No,,,528,"1,734",0.4,1.0,False,-1
Curtis Jones,0.0,206915.png,0,551,i,Liverpool,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Leg injury - Expected back 29 Oct,2022-09-06T22:00:06.361655Z,15,83,0.0,0.0,False,0
Ibrahima Konaté,0.0,204716.png,0,2553,d,Liverpool,4.8,DEF,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Lack of match fitness - 50% chance of playing,2022-08-01T00:00:04.608818Z,291,728,0.2,0.0,False,0
Caoimhin Kelleher,0.0,200720.png,0,1746,d,Liverpool,4.0,GK,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Lack of match fitness - 25% chance of playing,2022-07-29T22:30:04.925323Z,121,458,0.2,0.0,False,0
Naby Keita,0.0,175592.png,0,7566,i,Liverpool,4.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Muscle injury - Expected back 29 Oct,2022-08-23T08:30:05.948248Z,25,296,0.0,0.0,False,0
Alex Oxlade-Chamberlain,0.0,81880.png,0,181,i,Liverpool,4.9,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,Hamstring injury - Expected back 29 Oct,2022-07-29T22:30:04.881961Z,16,33,0.0,0.0,False,0
Thiago Alcántara do Nascimento,0.0,61558.png,1,37253,a,Liverpool,5.2,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,2022-08-07T01:30:05.799195Z,"17,497","3,171",0.7,1.0,False,0
Jordan Henderson,0.0,56979.png,9,34170,a,Liverpool,5.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_14-66.webp,No,,2022-08-31T22:30:06.648558Z,759,"2,794",0.5,1.8,False,0
